Created as New Dataset;
s;A
554,00;-0,0039
555,00;-0,0039
556,00;-0,0039
557,00;-0,0042
558,00;-0,0039
559,00;-0,0042
560,00;-0,0039
561,00;-0,0039
562,00;-0,0039
563,00;-0,0045
564,00;-0,0045
565,00;-0,0045
566,00;-0,0045
567,00;-0,0045
568,00;-0,0045
569,00;-0,0045
570,00;-0,0045
571,00;-0,0045
572,00;-0,0045
573,00;-0,0045
574,00;-0,0045
575,00;-0,0045
576,00;-0,0042
577,00;-0,0045
578,00;-0,0045
579,00;-0,0045
580,00;-0,0045
581,00;-0,0045
582,00;-0,0045
583,00;-0,0045
584,00;-0,0045
585,00;-0,0045
586,00;-0,0045
587,00;-0,0045
588,00;-0,0048
589,00;-0,0048
590,00;-0,0045
591,00;-0,0045
592,00;-0,0045
593,00;-0,0048
594,00;-0,0045
595,00;-0,0045
596,00;-0,0045
597,00;-0,0045
598,00;-0,0045
599,00;-0,0045
600,00;-0,0045
601,00;-0,0045
602,00;-0,0042
603,00;-0,0039
604,00;-0,0042
605,00;-0,0039
606,00;-0,0042
607,00;-0,0042
608,00;-0,0042
609,00;-0,0042
610,00;-0,0042
611,00;-0,0042
612,00;-0,0042
613,00;-0,0042
614,00;-0,0042
615,00;-0,0045
616,00;-0,0045
617,00;-0,0042
618,00;-0,0042
619,00;-0,0042
620,00;-0,0039
621,00;-0,0042
622,00;-0,0042
623,00;-0,0042
624,00;-0,0042
625,00;-0,0042
626,00;-0,0042
627,00;-0,0042
628,00;-0,0042
629,00;-0,0042
630,00;-0,0042
631,00;-0,0045
632,00;-0,0042
633,00;-0,0042
634,00;-0,0039
635,00;-0,0039
636,00;-0,0039
637,00;-0,0042
638,00;-0,0039
639,00;-0,0039
640,00;-0,0039
641,00;-0,0039
642,00;-0,0032
643,00;-0,0026
644,00;0,0003
645,00;0,0429
646,00;0,2195
647,00;0,3260
648,00;0,3500
649,00;0,3500
650,00;0,3421
651,00;0,3371
652,00;0,3350
653,00;0,3267
654,00;0,3079
655,00;0,2823
656,00;0,2547
657,00;0,2298
658,00;0,2136
659,00;0,2078
660,00;0,2068
661,00;0,2084
662,00;0,2099
663,00;0,2115
664,00;0,2110
665,00;0,2115
666,00;0,2120
667,00;0,2120
668,00;0,2126
669,00;0,2131
670,00;0,2141
671,00;0,2141
672,00;0,2141
673,00;0,2152
674,00;0,2141
675,00;0,2141
676,00;0,2147
677,00;0,2147
678,00;0,2147
679,00;0,2147
680,00;0,2152
681,00;0,2157
682,00;0,2157
683,00;0,2173
684,00;0,2211
685,00;0,2238
686,00;0,2331
687,00;0,2600
688,00;0,3315
689,00;0,4471
690,00;0,5581
691,00;0,6417
692,00;0,6881
693,00;0,7108
694,00;0,7175
695,00;0,7175
