Pomiar;Ca1Mg1.Sample.csv - abs;Ca1Mg1.Sample.csv - delta;Ca1Mg1.Sample.csv - proc;====;Ca1Mg5.Sample.csv - abs;Ca1Mg5.Sample.csv - delta;Ca1Mg5.Sample.csv - proc;====
217;0,0022;0,0003;15,78947;====;-0,0003;0,0;-0,0;====
218;0,0019;-0,0003;-13,63636;====;-0,0003;0,0;-0,0;====
219;0,0016;-0,0003;-15,78947;====;-0,0003;0,0;-0,0;====
220;0,0019;0,0003;18,75;====;-0,0003;0,0;-0,0;====
221;0,0019;0,0;0,0;====;-0,0003;0,0;-0,0;====
222;0,0019;0,0;0,0;====;-0,0003;0,0;-0,0;====
223;0,0019;0,0;0,0;====;-0,0003;0,0;-0,0;====
224;0,0019;0,0;0,0;====;-0,0003;0,0;-0,0;====
225;0,0019;0,0;0,0;====;-0,0006;-0,0003;100,0;====
226;0,0022;0,0003;15,78947;====;-0,0003;0,0003;-50,0;====
227;0,0022;0,0;0,0;====;-0,0003;0,0;-0,0;====
228;0,0019;-0,0003;-13,63636;====;-0,0;0,0003;-100,0;====
229;0,0019;0,0;0,0;====;-0,0003;-0,0003;0,0;====
230;0,0022;0,0003;15,78947;====;-0,0003;0,0;-0,0;====
231;0,0022;0,0;0,0;====;-0,0003;0,0;-0,0;====
232;0,0022;0,0;0,0;====;-0,0003;0,0;-0,0;====
233;0,0022;0,0;0,0;====;-0,0003;0,0;-0,0;====
234;0,0022;0,0;0,0;====;-0,0003;0,0;-0,0;====
235;0,0019;-0,0003;-13,63636;====;-0,0003;0,0;-0,0;====
236;0,0022;0,0003;15,78947;====;-0,0003;0,0;-0,0;====
237;0,0022;0,0;0,0;====;-0,0;0,0003;-100,0;====
238;0,0022;0,0;0,0;====;-0,0003;-0,0003;0,0;====
239;0,0022;0,0;0,0;====;-0,0003;0,0;-0,0;====
240;0,0022;0,0;0,0;====;-0,0;0,0003;-100,0;====
241;0,0022;0,0;0,0;====;-0,0003;-0,0003;0,0;====
242;0,0019;-0,0003;-13,63636;====;-0,0003;0,0;-0,0;====
243;0,0025;0,0006;31,57895;====;-0,0003;0,0;-0,0;====
244;0,0022;-0,0003;-12,0;====;-0,0003;0,0;-0,0;====
245;0,0019;-0,0003;-13,63636;====;-0,0;0,0003;-100,0;====
246;0,0022;0,0003;15,78947;====;-0,0003;-0,0003;0,0;====
247;0,0022;0,0;0,0;====;-0,0006;-0,0003;100,0;====
248;0,0022;0,0;0,0;====;-0,0006;0,0;-0,0;====
249;0,0022;0,0;0,0;====;-0,0;0,0006;-100,0;====
250;0,0022;0,0;0,0;====;-0,0003;-0,0003;0,0;====
251;0,0022;0,0;0,0;====;-0,0006;-0,0003;100,0;====
252;0,0022;0,0;0,0;====;-0,0003;0,0003;-50,0;====
253;0,0019;-0,0003;-13,63636;====;-0,0003;0,0;-0,0;====
254;0,0019;0,0;0,0;====;-0,0006;-0,0003;100,0;====
255;0,0022;0,0003;15,78947;====;-0,0003;0,0003;-50,0;====
256;0,0022;0,0;0,0;====;-0,0003;0,0;-0,0;====
257;0,0022;0,0;0,0;====;-0,0003;0,0;-0,0;====
258;0,0022;0,0;0,0;====;-0,0003;0,0;-0,0;====
259;0,0022;0,0;0,0;====;-0,0003;0,0;-0,0;====
260;0,0022;0,0;0,0;====;-0,0006;-0,0003;100,0;====
261;0,0019;-0,0003;-13,63636;====;-0,0;0,0006;-100,0;====
262;0,0019;0,0;0,0;====;-0,0003;-0,0003;0,0;====
263;0,0022;0,0003;15,78947;====;-0,0003;0,0;-0,0;====
264;0,0019;-0,0003;-13,63636;====;-0,0003;0,0;-0,0;====
265;0,0022;0,0003;15,78947;====;-0,0003;0,0;-0,0;====
266;0,0022;0,0;0,0;====;-0,0003;0,0;-0,0;====
267;0,0022;0,0;0,0;====;-0,0003;0,0;-0,0;====
268;0,0022;0,0;0,0;====;-0,0003;0,0;-0,0;====
269;0,0022;0,0;0,0;====;-0,0003;0,0;-0,0;====
270;0,0022;0,0;0,0;====;-0,0003;0,0;-0,0;====
271;0,0019;-0,0003;-13,63636;====;-0,0003;0,0;-0,0;====
272;0,0022;0,0003;15,78947;====;-0,0006;-0,0003;100,0;====
273;0,0022;0,0;0,0;====;-0,0006;0,0;-0,0;====
274;0,0019;-0,0003;-13,63636;====;-0,0003;0,0003;-50,0;====
275;0,0019;0,0;0,0;====;-0,0003;0,0;-0,0;====
276;0,0022;0,0003;15,78947;====;-0,0003;0,0;-0,0;====
277;0,0022;0,0;0,0;====;-0,0;0,0003;-100,0;====
