Created as New Dataset;
s;A
558,00;0,0012
559,00;0,0009
560,00;0,0009
561,00;0,0012
562,00;0,0012
563,00;0,0012
564,00;0,0009
565,00;0,0009
566,00;0,0012
567,00;0,0009
568,00;0,0012
569,00;0,0009
570,00;0,0009
571,00;0,0009
572,00;0,0009
573,00;0,0009
574,00;0,0009
575,00;0,0009
576,00;0,0009
577,00;0,0009
578,00;0,0012
579,00;0,0012
580,00;0,0012
581,00;0,0012
582,00;0,0012
583,00;0,0012
584,00;0,0009
585,00;0,0012
586,00;0,0012
587,00;0,0009
588,00;0,0012
589,00;0,0012
590,00;0,0009
591,00;0,0012
592,00;0,0012
593,00;0,0012
594,00;0,0009
595,00;0,0009
596,00;0,0015
597,00;0,0015
598,00;0,0012
599,00;0,0012
600,00;0,0012
601,00;0,0018
602,00;0,0018
603,00;0,0018
604,00;0,0015
605,00;0,0015
606,00;0,0018
607,00;0,0018
608,00;0,0012
609,00;0,0012
610,00;0,0012
611,00;0,0015
612,00;0,0015
613,00;0,0015
614,00;0,0015
615,00;0,0012
616,00;0,0012
617,00;0,0012
618,00;0,0009
619,00;0,0009
620,00;0,0009
621,00;0,0009
622,00;0,0009
623,00;0,0012
624,00;0,0009
625,00;0,0009
626,00;0,0015
627,00;0,0015
628,00;0,0015
629,00;0,0012
630,00;0,0015
631,00;0,0015
632,00;0,0015
633,00;0,0015
634,00;0,0015
635,00;0,0015
636,00;0,0018
637,00;0,0024
638,00;0,0024
639,00;0,0028
640,00;0,0040
641,00;0,0336
642,00;0,1579
643,00;0,2843
644,00;0,2814
645,00;0,2614
646,00;0,2418
647,00;0,2297
648,00;0,2282
649,00;0,2297
650,00;0,2241
651,00;0,2120
652,00;0,1964
653,00;0,1813
654,00;0,1636
655,00;0,1483
656,00;0,1386
657,00;0,1344
658,00;0,1323
659,00;0,1331
660,00;0,1331
661,00;0,1331
662,00;0,1340
663,00;0,1336
664,00;0,1331
665,00;0,1336
666,00;0,1348
667,00;0,1344
668,00;0,1348
669,00;0,1344
670,00;0,1352
671,00;0,1352
672,00;0,1361
673,00;0,1352
674,00;0,1352
675,00;0,1340
676,00;0,1348
677,00;0,1361
678,00;0,1365
679,00;0,1369
680,00;0,1369
681,00;0,1373
682,00;0,1377
683,00;0,1394
684,00;0,1441
685,00;0,1548
686,00;0,1878
687,00;0,2808
688,00;0,4084
689,00;0,5160
690,00;0,5972
691,00;0,6511
692,00;0,6852
693,00;0,7017
694,00;0,7064
695,00;0,7064
696,00;0,7017
697,00;0,6971
698,00;0,6926
699,00;0,6896
700,00;0,6881
701,00;0,6896
702,00;0,6941
703,00;0,7002
704,00;0,7064
705,00;0,7158
706,00;0,7270
707,00;0,7352
708,00;0,7436
709,00;0,7487
710,00;0,7436
711,00;0,7142
712,00;0,6350
713,00;0,5471
714,00;0,4823
715,00;0,4358
716,00;0,3969
717,00;0,3611
718,00;0,3281
719,00;0,2962
720,00;0,2665
721,00;0,2445
722,00;0,2272
723,00;0,2075
724,00;0,1916
725,00;0,1762
726,00;0,1672
727,00;0,1588
728,00;0,1483
729,00;0,1424
730,00;0,1369
731,00;0,1327
732,00;0,1286
733,00;0,1266
734,00;0,1262
735,00;0,1294
736,00;0,1453
737,00;0,1531
738,00;0,1588
739,00;0,1483
740,00;0,1348
741,00;0,1153
742,00;0,0936
743,00;0,0718
744,00;0,0542
745,00;0,0402
746,00;0,0303
747,00;0,0235
748,00;0,0193
749,00;0,0171
750,00;0,0152
751,00;0,0136
752,00;0,0121
753,00;0,0111
754,00;0,0099
755,00;0,0089
756,00;0,0083
757,00;0,0077
758,00;0,0071
759,00;0,0065
760,00;0,0055
761,00;0,0052
762,00;0,0049
763,00;0,0040
764,00;0,0040
765,00;0,0037
766,00;0,0034
767,00;0,0031
768,00;0,0028
769,00;0,0028
770,00;0,0024
771,00;0,0024
772,00;0,0024
773,00;0,0021
774,00;0,0021
775,00;0,0018
776,00;0,0018
777,00;0,0018
778,00;0,0018
779,00;0,0018
780,00;0,0015
781,00;0,0015
782,00;0,0015
783,00;0,0015
784,00;0,0012
785,00;0,0015
786,00;0,0015
787,00;0,0015
788,00;0,0015
789,00;0,0018
790,00;0,0015
791,00;0,0012
792,00;0,0015
793,00;0,0018
794,00;0,0015
795,00;0,0012
796,00;0,0015
797,00;0,0015
798,00;0,0015
799,00;0,0018
800,00;0,0015
801,00;0,0015
802,00;0,0015
803,00;0,0012
804,00;0,0015
805,00;0,0015
806,00;0,0015
807,00;0,0015
808,00;0,0015
809,00;0,0012
810,00;0,0015
811,00;0,0015
812,00;0,0015
813,00;0,0018
814,00;0,0015
815,00;0,0015
816,00;0,0018
817,00;0,0018
818,00;0,0015
819,00;0,0015
820,00;0,0015
821,00;0,0015
822,00;0,0015
823,00;0,0015
824,00;0,0018
825,00;0,0015
826,00;0,0015
827,00;0,0015
828,00;0,0015
829,00;0,0018
830,00;0,0015
831,00;0,0018
832,00;0,0015
833,00;0,0012
834,00;0,0015
835,00;0,0015
836,00;0,0015
837,00;0,0015
838,00;0,0018
839,00;0,0018
840,00;0,0018
841,00;0,0015
842,00;0,0015
843,00;0,0018
844,00;0,0018
845,00;0,0015
846,00;0,0015
847,00;0,0015
848,00;0,0015
849,00;0,0018
850,00;0,0018
851,00;0,0018
852,00;0,0018
853,00;0,0018
854,00;0,0018
855,00;0,0015
856,00;0,0018
857,00;0,0018
858,00;0,0015
859,00;0,0015
860,00;0,0018
